fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
173943,Breightmet Conservative Club,"684 Bury Road, Bolton",BL2 6JD,374295,409442.0,53.580934,-2.389734,Bolton
173946,Breightmet United Football Club,"Bury Road, Bolton",BL2 6NX,374895,409318.0,53.579839,-2.380647,Bolton
173949,Bridge Inn,"121 Church Street, Horwich, Bolton",BL6 7BR,364076,411544.0,53.599223,-2.544303,Bolton
173953,Bridgewater Hotel,"27 Buckley Lane, Farnworth, Bolton",BL4 9PF,373496,405133.0,53.542173,-2.40142,Bolton
173958,Britannia Inn,"32-34 King Street, Farnworth, Bolton",BL4 7AF,373905,405854.0,53.548674,-2.395309,Bolton
173965,Brooklyn Hotel,"Green Lane, Bolton",BL3 2EF,371879,407082.0,53.559597,-2.425996,Bolton
173977,Bunbury's,"397 Chorley Old Road, Bolton",BL1 6AH,369815,410276.0,53.588189,-2.457463,Bolton
174026,Canary Tavern,"96 High Street, Little Lever, Bolton",BL3 1LR,375664,407223.0,53.561064,-2.368869,Bolton
174035,Carbon Bar,"18 St Andrews Court, Chancery Lane, Bolton",BL1 1LD,371755,409114.0,53.577854,-2.428052,Bolton
174101,Church Hotel,"61 Church Road, Kearsley, Bolton",BL4 8AW,374294,405743.0,53.547687,-2.389429,Bolton
174104,Church Ward Conservative Club,"94 Castle Street, Bolton",BL2 1JL,372618,408980.0,53.576687,-2.415007,Bolton
174109,Claremont Arms,"274-278 Halliwell Road, Bolton",BL1 3QD,371142,410742.0,53.592453,-2.437461,Bolton
174113,Club Retro,"103-107 Market Street, Farnworth, Bolton",BL4 7NS,373959,405980.0,53.5498,-2.394504,Bolton
174128,Colliers Arms,"1051-1053 Chorley Old Road, Bolton",BL1 5SX,368272,410649.0,53.591451,-2.48081,Bolton
174165,Cotton Kier,"2-4 Eagley Brook Way, Bolton",BL1 8TS,372038,411264.0,53.597194,-2.423972,Bolton
174166,Court Yard Wine Bar,"141 Lee Lane, Horwich, Bolton",BL6 7AG,363736,411788.0,53.601393,-2.549468,Bolton
174167,Courtneys,"21-23 Bradshawgate, Bolton",BL1 1EL,371857,409248.0,53.579055,-2.426524,Bolton
174177,Crofters Arms,"494 Halliwell Road, Bolton",BL1 8BP,370515,411062.0,53.595294,-2.446963,Bolton
174180,Cross Guns,"390 Blackburn Road, Egerton, Bolton",BL7 9TR,370792,415188.0,53.632403,-2.443167,Bolton
174181,Crown Hotel,"1 Chorley New Road, Horwich, Bolton",BL6 7QJ,363452,411811.0,53.60158,-2.553762,Bolton
174210,Daisy Hill Football Club,"Daisy Hill New Sirs, St James Street, Westhoughton, Bolton",BL5 2EB,365663,404188.0,53.533215,-2.519512,Bolton
174211,Daisy Hill Hotel,"3 Lower Leigh Road, Westhoughton, Bolton",BL5 2JP,365807,404379.0,53.534941,-2.51736,Bolton
174217,Darcy Lever Cricket & Sports,"Hacken Lane, Bolton",BL3 1SD,373445,407966.0,53.567625,-2.402431,Bolton
174225,Deane Golf Club,"Broadford Road, Bolton",BL3 4NS,369072,408123.0,53.568786,-2.468473,Bolton
174245,DG Bar,"109-111 Bradshawgate, Bolton",BL1 1QD,371921,409042.0,53.577207,-2.425539,Bolton
174247,D'Havilland,"Gladstone Road, Farnworth, Bolton",BL4 7EQ,373039,406032.0,53.550221,-2.408394,Bolton
174248,Diamond Dance Bars Ltd,"4 Manor Street, Bolton",BL1 1TU,371893,409448.0,53.580855,-2.425998,Bolton
174257,Doffcocker Inn,"Chorley Old Road, Bolton",BL1 5QD,368862,410483.0,53.589986,-2.47188,Bolton
174272,Downtown Bar,"63 Bradshawgate, Bolton",BL1 1PQ,371680,408791.0,53.574938,-2.429155,Bolton
174280,Dub Tap,"179 Lee Lane, Horwich, Bolton",BL6 7JD,363606,411850.0,53.601941,-2.55144,Bolton
174282,Duke Of Wellington,"60 St Johns Road, Lostock, Bolton",BL6 4HA,366777,407584.0,53.56381,-2.503068,Bolton
174283,Dunscar Arms,"547 Darwen Road, Bromley Cross, Bolton",BL7 9ED,371520,413870.0,53.620589,-2.432038,Bolton
174284,Dunscar Conservative Club,"Hardmans Lane, Bromley Cross, Bolton",BL7 9HJ,371692,413850.0,53.620418,-2.429435,Bolton
174285,Dunscar Golf Club,"Longworth Lane, Egerton, Bolton",BL7 9QY,370741,413717.0,53.61917,-2.4438,Bolton
174309,Egerton Cricket Club,"Blackburn Road, Egerton, Bolton",BL7 9TH,370774,415164.0,53.632178,-2.443437,Bolton
174316,Ellesmere Recreation Club,"24-26 Ellesmere Road, Bolton",BL3 3JT,370315,407059.0,53.559313,-2.449604,Bolton
174330,F A Foods,"Farmers Arms, 357-359 Radcliffe Road, Bolton",BL3 1RU,373414,408122.0,53.569025,-2.402912,Bolton
174338,Farnworth and Kearsley Labour Club,"Longcauseway, Farnworth, Bolton",BL4 9BD,362707,523502.0,54.605301,-2.57884,Bolton
174341,Farnworth Cricket & Bowling Club,"Lavender Road, Farnworth, Bolton",BL4 0EA,372458,406520.0,53.554577,-2.417206,Bolton
174343,Farnworth Masonic Hall,"Francis Street, Farnworth, Bolton",BL4 7NG,373539,406425.0,53.553779,-2.400881,Bolton
174344,Farnworth Snooker Club,"11 Church Street, Farnworth, Bolton",BL4 8AG,374120,405860.0,53.54873,-2.392064,Bolton
174345,Farnworth Social Circle,"Piggott Street, Farnworth, Bolton",BL4 9QJ,373226,405148.0,53.542294,-2.405495,Bolton
174356,Finishers Arms,"487 Church Road, Bolton",BL1 5RE,369025,410606.0,53.59111,-2.46943,Bolton
